Jogador,ID_Jogador,Numero,Idade,Nacionalidade,No_plantel,Jogos,Gols,Assistencias,Cartoes_amarelos,Expulsoes_dois_amarelos,Expulsoes_vermelho_direto,Suplente_utilizado,Substituicoes,Pontos_por_jogo,Minutos_jogados,Identifier,Camp,Ano,Time
Fernandinho,26267,5,37,,25,25,1,3,9,1,-,2,10,"1,48",1.943',BRA1_2023,BRA1,2023,Athletico Paranaense
Arturo Vidal,37666,23,35,,7,7,-,-,3,-,-,1,6,"1,43",383',BRA1_2023,BRA1,2023,Athletico Paranaense
Bryan García,739496,30,21,,2,1,-,-,-,-,-,1,-,"3,00",1',BRA1_2023,BRA1,2023,Athletico Paranaense
Danielzinho,1084186,87,20,,9,1,-,-,-,-,-,1,-,"1,00",1',BRA1_2023,BRA1,2023,Athletico Paranaense
João Vitor,1056019,58,18,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Murilo Sousa,1094386,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Vitor Roque,943837,9,17,,25,25,12,3,6,-,-,6,13,"1,56",1.722',BRA1_2023,BRA1,2023,Athletico Paranaense
Vitinho,670965,-,23,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Agustín Canobbio,457533,14,23,,30,29,3,5,10,-,-,7,6,"1,41",2.118',BRA1_2023,BRA1,2023,Athletico Paranaense
Rômulo,957874,35,20,,23,18,-,-,1,-,-,13,5,"1,33",502',BRA1_2023,BRA1,2023,Athletico Paranaense
Tomás Cuello,503052,28,22,,36,32,-,4,5,-,-,10,10,"1,28",2.057',BRA1_2023,BRA1,2023,Athletico Paranaense
Julimar,593205,78,21,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Thiago Andrade,694606,19,21,,30,10,-,-,1,-,-,8,2,"1,50",218',BRA1_2023,BRA1,2023,Athletico Paranaense
Jajá,739477,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Pablo,148765,92,30,,25,25,7,2,3,-,-,11,6,"1,52",1.394',BRA1_2023,BRA1,2023,Athletico Paranaense
Emersonn,743599,90,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Luciano Arriagada,737965,32,20,,29,10,-,-,-,-,-,9,1,"1,10",182',BRA1_2023,BRA1,2023,Athletico Paranaense
Marcelo Cirino,114514,7,30,,15,4,-,-,1,-,-,3,1,"0,50",101',BRA1_2023,BRA1,2023,Athletico Paranaense
Reinaldo,646256,20,21,,1,1,-,-,-,-,-,1,-,"3,00",15',BRA1_2023,BRA1,2023,Athletico Paranaense
Willian Bigode,55338,11,35,,29,18,4,-,-,-,-,12,6,"1,11",566',BRA1_2023,BRA1,2023,Athletico Paranaense
Ronaldo,387925,-,24,,19,18,-,-,1,-,-,-,-,"0,89",1.620',BRA1_2022,BRA1,2022,Atlético Goianiense
Luan Polli,273250,1,28,,13,2,-,-,-,-,-,-,-,"0,50",180',BRA1_2022,BRA1,2022,Atlético Goianiense
Renan,68102,12,32,,29,16,-,-,2,-,-,-,-,"1,06",1.440',BRA1_2022,BRA1,2022,Atlético Goianiense
Diego Loureiro,503218,-,22,,7,2,-,-,-,-,-,-,-,"1,00",180',BRA1_2022,BRA1,2022,Atlético Goianiense
Pedro Paulo,914027,-,23,,10,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Léo,1042363,-,19,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Dudu,476362,2,24,,27,22,1,2,1,-,-,2,11,"0,95",1.644',BRA1_2022,BRA1,2022,Atlético Goianiense
Gazal,863073,-,21,,17,15,1,-,1,-,1,-,-,"1,27",1.305',BRA1_2022,BRA1,2022,Atlético Goianiense
Gabriel Noga,627215,14,19,,15,1,-,-,-,-,-,1,-,"3,00",1',BRA1_2022,BRA1,2022,Atlético Goianiense
Hayner,389942,13,25,,23,19,-,2,8,-,1,3,3,"0,89",1.379',BRA1_2022,BRA1,2022,Atlético Goianiense
Camutanga,607817,-,27,,6,1,-,-,-,-,-,-,1,"0,00",72',BRA1_2022,BRA1,2022,Atlético Goianiense
Ramon Menezes,371025,-,26,,16,14,-,-,2,-,-,-,-,"1,14",1.260',BRA1_2022,BRA1,2022,Atlético Goianiense
William Klaus,484599,-,27,,17,9,-,-,1,-,-,4,-,"0,67",538',BRA1_2022,BRA1,2022,Atlético Goianiense
Jefferson,435211,-,24,,37,33,1,2,5,-,-,6,13,"0,94",2.281',BRA1_2022,BRA1,2022,Atlético Goianiense
Édson,103146,4,30,,18,17,-,-,5,-,-,-,3,"0,88",1.425',BRA1_2022,BRA1,2022,Atlético Goianiense
Wanderson,316067,3,30,,34,28,-,-,2,-,-,1,1,"0,93",2.447',BRA1_2022,BRA1,2022,Atlético Goianiense
Michel Custódio,677679,-,20,,7,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Luan Sales,692671,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Gabriel Ribeiro,978212,-,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Renan Silva,980968,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Arthur Henrique,349737,6,27,,32,22,-,-,-,-,1,11,8,"1,05",965',BRA1_2022,BRA1,2022,Atlético Goianiense
Lucas,980979,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Jonathan,980980,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Marlon Freitas,364972,8,26,,37,36,4,3,2,-,-,9,8,"0,92",2.474',BRA1_2022,BRA1,2022,Atlético Goianiense
Lucas Fernandes,430761,-,23,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Shaylon,480274,7,24,,32,28,3,-,3,-,-,13,13,"0,86",1.354',BRA1_2022,BRA1,2022,Atlético Goianiense
Baralhas,552242,5,22,,33,30,4,2,12,-,-,4,14,"0,90",2.171',BRA1_2022,BRA1,2022,Atlético Goianiense
Willian Maranhão,538107,-,25,,18,18,-,-,7,-,1,1,9,"1,06",1.342',BRA1_2022,BRA1,2022,Atlético Goianiense
Edson Fernando,686332,16,23,,33,25,-,-,8,-,-,18,7,"1,24",810',BRA1_2022,BRA1,2022,Atlético Goianiense
Rhaldney,638269,-,22,,18,7,-,-,1,-,-,6,1,"1,43",173',BRA1_2022,BRA1,2022,Atlético Goianiense
Jorginho,155470,10,30,,32,30,3,-,8,-,-,11,14,"0,97",1.641',BRA1_2022,BRA1,2022,Atlético Goianiense
Ramon,312684,18,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Lucas Lima,688310,-,20,,16,7,-,-,-,-,-,7,-,"0,14",119',BRA1_2022,BRA1,2022,Atlético Goianiense
Rickson,529609,17,23,,15,8,-,-,1,-,-,8,-,"1,13",62',BRA1_2022,BRA1,2022,Atlético Goianiense
Isaac,965613,27,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Thiago Medeiros,980981,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Luiz Fernando,372013,11,24,,31,29,2,4,5,1,1,6,20,"1,00",1.754',BRA1_2022,BRA1,2022,Atlético Goianiense
Léo Pereira,726472,-,21,,33,30,1,1,9,-,-,24,3,"0,90",1.116',BRA1_2022,BRA1,2022,Atlético Goianiense
Ricardinho,868887,-,20,,11,6,-,-,2,-,-,2,3,"0,50",229',BRA1_2022,BRA1,2022,Atlético Goianiense
Wellington Rato,542483,-,29,,36,36,8,3,3,-,-,3,14,"0,92",2.792',BRA1_2022,BRA1,2022,Atlético Goianiense
Peglow,627227,-,19,,8,6,-,1,1,-,-,4,2,"0,67",235',BRA1_2022,BRA1,2022,Atlético Goianiense
Daniel Lima,965614,-,16,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Luis Phelipe,673830,28,20,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Dellatorre,184604,-,29,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Brian Montenegro,198143,22,28,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Kelvin,638722,-,23,,20,11,1,-,-,-,-,11,1,"0,73",298',BRA1_2022,BRA1,2022,Atlético Goianiense
Airton,696604,-,22,,35,33,2,4,3,-,-,11,19,"1,00",1.745',BRA1_2022,BRA1,2022,Atlético Goianiense
Diego Churín,68747,9,31,,36,36,8,1,6,-,-,11,10,"0,97",2.389',BRA1_2022,BRA1,2022,Atlético Goianiense
Leandro Barcia,322059,19,28,,4,1,-,-,-,-,-,1,-,"1,00",25',BRA1_2022,BRA1,2022,Atlético Goianiense
Samuel,981161,20,17,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Jean Carlos,965636,31,18,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Goianiense
Everson,106032,22,30,,37,37,-,-,5,-,-,-,-,"1,54",3.330',BRA1_2022,BRA1,2022,Atlético Mineiro
Rafael,68097,32,32,,38,1,-,-,-,-,-,-,-,"1,00",90',BRA1_2022,BRA1,2022,Atlético Mineiro
Matheus Mendes,629077,31,22,,21,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Gabriel Delfim,978121,1,18,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Guilherme Arana,346766,13,24,,20,20,-,3,4,-,-,1,1,"1,75",1.721',BRA1_2022,BRA1,2022,Atlético Mineiro
Júnior Alonso,273000,3,28,,33,31,-,2,4,-,-,1,3,"1,48",2.599',BRA1_2022,BRA1,2022,Atlético Mineiro
Nathan Silva,440652,40,24,,36,22,-,-,8,-,-,4,1,"1,41",1.730',BRA1_2022,BRA1,2022,Atlético Mineiro
Rubens,843397,44,20,,36,29,1,-,3,-,-,18,7,"1,52",1.219',BRA1_2022,BRA1,2022,Atlético Mineiro
Guga,592344,2,22,,38,22,-,2,1,-,-,3,6,"1,64",1.677',BRA1_2022,BRA1,2022,Atlético Mineiro
Igor Rabello,341701,16,26,,22,7,1,1,1,-,-,-,1,"1,57",600',BRA1_2022,BRA1,2022,Atlético Mineiro
Jemerson,258254,-,28,,15,12,-,-,6,-,-,-,3,"1,75",997',BRA1_2022,BRA1,2022,Atlético Mineiro
Micael,867847,45,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Dodô,109038,6,29,,22,13,1,-,2,-,-,2,6,"1,38",909',BRA1_2022,BRA1,2022,Atlético Mineiro
Vitor Mendes,686333,34,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Mariano,54155,25,35,,32,25,-,1,5,-,-,6,2,"1,48",1.729',BRA1_2022,BRA1,2022,Atlético Mineiro
Hiago,412364,-,21,,12,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Réver,72489,4,36,,37,15,1,-,2,-,-,5,1,"2,00",944',BRA1_2022,BRA1,2022,Atlético Mineiro
Diego Godín,54928,14,35,,3,1,-,-,-,-,-,-,-,"1,00",90',BRA1_2022,BRA1,2022,Atlético Mineiro
Carlos Daniel,818841,21,19,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Jefferson Savarino,309193,17,24,,3,3,2,-,-,-,-,2,1,"2,33",89',BRA1_2022,BRA1,2022,Atlético Mineiro
Matías Zaracho,480774,15,23,,26,26,2,2,3,-,-,2,17,"1,62",1.896',BRA1_2022,BRA1,2022,Atlético Mineiro
Allan,385271,29,24,,34,33,-,-,10,-,-,2,5,"1,42",2.735',BRA1_2022,BRA1,2022,Atlético Mineiro
Otávio,312314,5,27,,32,24,-,-,2,-,-,13,7,"1,83",1.154',BRA1_2022,BRA1,2022,Atlético Mineiro
Jair,239294,8,26,,35,31,1,4,5,-,-,5,19,"1,52",2.088',BRA1_2022,BRA1,2022,Atlético Mineiro
Calebe,798114,27,21,,34,13,-,-,1,-,-,11,1,"2,00",256',BRA1_2022,BRA1,2022,Atlético Mineiro
Yan Phillipe,1075604,-,17,,4,1,-,-,-,-,-,1,-,"0,00",18',BRA1_2022,BRA1,2022,Atlético Mineiro
Tchê Tchê,364261,37,28,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Guilherme Castilho,726005,23,21,,14,4,-,-,-,-,-,2,2,"2,00",139',BRA1_2022,BRA1,2022,Atlético Mineiro
Nacho Fernández,50669,26,31,,36,34,4,5,7,-,-,9,18,"1,47",2.233',BRA1_2022,BRA1,2022,Atlético Mineiro
Neto,627231,41,18,,13,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Savinho,743591,33,17,,11,8,1,-,-,-,-,6,2,"1,25",210',BRA1_2022,BRA1,2022,Atlético Mineiro
Pedrinho,515208,-,23,,7,7,-,-,-,-,-,6,2,"0,71",225',BRA1_2022,BRA1,2022,Atlético Mineiro
Cristian Pavón,373170,-,25,,21,18,1,-,2,-,-,11,7,"1,33",688',BRA1_2022,BRA1,2022,Atlético Mineiro
Dylan Borrero,662453,30,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Eduardo Sasha,162883,18,29,,32,27,3,1,1,-,-,11,14,"1,52",1.294',BRA1_2022,BRA1,2022,Atlético Mineiro
Hulk,80562,7,34,,25,25,12,2,5,-,-,1,8,"1,48",2.095',BRA1_2022,BRA1,2022,Atlético Mineiro
Ademir,544259,19,26,,37,35,2,-,4,-,-,20,14,"1,57",1.485',BRA1_2022,BRA1,2022,Atlético Mineiro
Eduardo Vargas,89718,10,31,,28,24,5,3,2,-,-,11,10,"1,58",1.142',BRA1_2022,BRA1,2022,Atlético Mineiro
Fábio Gomes,548298,9,24,,17,5,-,-,-,-,-,4,1,"1,40",136',BRA1_2022,BRA1,2022,Atlético Mineiro
Echaporã,688896,48,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Keno,346065,11,31,,29,29,4,1,5,-,-,7,17,"1,34",1.867',BRA1_2022,BRA1,2022,Atlético Mineiro
Alan Kardec,53922,-,32,,14,12,2,-,-,-,-,12,-,"1,00",246',BRA1_2022,BRA1,2022,Atlético Mineiro
Felipe Felicio,742366,28,18,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Luiz Filipe,837534,43,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Atlético Mineiro
Everson,106032,22,31,,36,36,-,-,6,-,-,-,-,"1,67",3.240',BRA1_2023,BRA1,2023,Atlético Mineiro
Matheus Mendes,629077,31,23,,37,2,-,-,2,-,-,-,-,"3,00",180',BRA1_2023,BRA1,2023,Atlético Mineiro
Gabriel Delfim,978121,1,19,,11,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Atlético Mineiro
Guilherme Arana,346766,13,25,,29,28,2,-,2,-,1,1,3,"1,75",2.387',BRA1_2023,BRA1,2023,Atlético Mineiro
Nathan Silva,440652,40,25,,10,4,-,-,1,-,-,-,-,"2,50",360',BRA1_2023,BRA1,2023,Atlético Mineiro
Rubens,843397,44,21,,37,24,1,1,5,-,-,10,11,"1,96",1.356',BRA1_2023,BRA1,2023,Atlético Mineiro
Mauricio Lemos,303140,28,26,,29,27,1,-,10,1,-,2,4,"1,85",2.217',BRA1_2023,BRA1,2023,Atlético Mineiro
Bruno Fuchs,563692,3,23,,23,15,-,-,2,-,-,2,5,"2,00",1.091',BRA1_2023,BRA1,2023,Atlético Mineiro
Igor Rabello,341701,16,27,,20,11,-,-,2,-,1,4,-,"1,55",690',BRA1_2023,BRA1,2023,Atlético Mineiro
Renzo Saravia,268642,26,29,,30,26,-,2,8,-,1,6,8,"1,62",1.711',BRA1_2023,BRA1,2023,Atlético Mineiro
Paulo Henrique,412594,-,25,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Atlético Mineiro
Jemerson,258254,34,29,,35,32,-,1,9,-,-,5,3,"1,69",2.474',BRA1_2023,BRA1,2023,Atlético Mineiro
Vitor Gabriel,1005006,50,16,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Atlético Mineiro
Rômulo,743588,47,18,,6,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Atlético Mineiro
Dodô,109038,6,30,,12,1,-,-,-,-,-,-,1,"3,00",60',BRA1_2023,BRA1,2023,Atlético Mineiro
Mariano,54155,25,36,,31,22,-,1,5,-,-,5,8,"1,50",1.566',BRA1_2023,BRA1,2023,Atlético Mineiro
Réver,72489,4,37,,38,9,-,-,1,-,-,8,-,"2,78",115',BRA1_2023,BRA1,2023,Atlético Mineiro
Matías Zaracho,480774,15,24,,27,27,2,1,8,-,-,5,10,"1,81",1.953',BRA1_2023,BRA1,2023,Atlético Mineiro
Allan,385271,29,25,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Atlético Mineiro
Otávio,312314,5,28,,32,27,-,-,8,-,-,-,5,"1,85",2.310',BRA1_2023,BRA1,2023,Atlético Mineiro
Igor Gomes,553459,17,23,,37,29,2,2,1,-,-,12,16,"1,69",1.381',BRA1_2023,BRA1,2023,Atlético Mineiro
Alan Franco,400960,23,23,,23,18,-,-,2,-,-,9,4,"2,00",836',BRA1_2023,BRA1,2023,Atlético Mineiro
Calebe,798114,-,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Atlético Mineiro
Hyoran,338861,20,29,,28,12,1,-,4,-,-,-,12,"1,75",700',BRA1_2023,BRA1,2023,Atlético Mineiro
Patrick,333159,49,29,,38,23,-,-,1,-,-,21,1,"1,87",542',BRA1_2023,BRA1,2023,Atlético Mineiro
Rodrigo Battaglia,89297,21,30,,24,22,-,1,6,-,-,3,5,"1,68",1.732',BRA1_2023,BRA1,2023,Atlético Mineiro
Edenilson,169052,8,32,,35,28,1,2,1,-,-,13,11,"1,86",1.367',BRA1_2023,BRA1,2023,Atlético Mineiro
Paulo Vitor,1116366,27,17,,20,1,-,-,-,-,-,1,-,"3,00",16',BRA1_2023,BRA1,2023,Atlético Mineiro
Nathan,294798,33,26,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Atlético Mineiro
Paulinho,428791,10,21,,36,36,20,2,3,-,-,1,18,"1,72",3.008',BRA1_2023,BRA1,2023,Atlético Mineiro
Pedrinho,515208,38,24,,24,15,-,2,2,-,-,9,6,"1,27",627',BRA1_2023,BRA1,2023,Atlético Mineiro
Alisson,1083070,45,16,,23,5,-,-,1,-,-,5,-,"0,20",46',BRA1_2023,BRA1,2023,Atlético Mineiro
Cristian Pavón,373170,9,26,,35,33,3,8,7,-,-,12,15,"1,76",1.949',BRA1_2023,BRA1,2023,Atlético Mineiro
Eduardo Sasha,162883,18,30,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Atlético Mineiro
Hulk,80562,7,35,,34,34,15,11,7,2,-,1,8,"1,79",2.860',BRA1_2023,BRA1,2023,Atlético Mineiro
Ademir,544259,19,27,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Atlético Mineiro
Eduardo Vargas,89718,11,32,,19,12,1,-,3,-,-,8,2,"1,17",465',BRA1_2023,BRA1,2023,Atlético Mineiro
Isaac,1083069,41,18,,2,1,-,-,-,-,-,1,-,"0,00",7',BRA1_2023,BRA1,2023,Atlético Mineiro
Cadu,1083073,42,18,,20,2,-,-,-,-,-,2,-,"3,00",11',BRA1_2023,BRA1,2023,Atlético Mineiro
Alan Kardec,53922,14,33,,23,14,1,1,1,-,-,12,2,"0,86",256',BRA1_2023,BRA1,2023,Atlético Mineiro
Igor Bohn,530385,-,25,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Vladimir,98930,89,31,,32,23,-,-,3,-,-,1,-,"0,78",2.025',BRA1_2022,BRA1,2022,Avaí FC
Douglas Friedrich,374094,1,32,,11,11,-,-,1,-,1,-,1,"1,18",940',BRA1_2022,BRA1,2022,Avaí FC
Cláudio Vitor,688874,23,20,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Glédson,85965,83,38,,38,5,-,-,2,-,-,-,-,"1,40",450',BRA1_2022,BRA1,2022,Avaí FC
Arthur Chaves,875332,31,20,,17,17,1,-,5,-,-,-,1,"1,06",1.485',BRA1_2022,BRA1,2022,Avaí FC
Thales Oleques,290250,-,27,,16,9,-,-,1,-,-,3,2,"1,00",561',BRA1_2022,BRA1,2022,Avaí FC
Felipe Silva,908236,35,19,,10,3,1,-,-,-,-,-,-,"2,33",270',BRA1_2022,BRA1,2022,Avaí FC
Bressan,256453,26,28,,22,21,-,-,5,-,-,-,3,"1,05",1.854',BRA1_2022,BRA1,2022,Avaí FC
Natanael,322588,-,30,,21,16,1,3,-,-,-,2,5,"0,81",1.210',BRA1_2022,BRA1,2022,Avaí FC
Ayrton Cougo,421195,15,25,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Rodrigo Freitas,631785,32,23,,29,10,-,-,2,-,-,5,3,"0,60",471',BRA1_2022,BRA1,2022,Avaí FC
Matheus Ribeiro,373299,2,28,,13,1,-,-,-,-,-,1,-,"3,00",16',BRA1_2022,BRA1,2022,Avaí FC
Wellington Nascimento,353807,-,26,,4,3,-,-,-,-,-,-,-,"2,33",270',BRA1_2022,BRA1,2022,Avaí FC
Luiz Gustavo,991846,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Alemão,265649,4,30,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Rafael Vaz,255805,-,32,,25,18,-,-,2,-,-,2,4,"0,67",1.400',BRA1_2022,BRA1,2022,Avaí FC
Raphael,871645,-,22,,8,3,-,-,-,-,-,2,-,"0,00",124',BRA1_2022,BRA1,2022,Avaí FC
Felipe Camargo,688876,-,22,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Leocovick,735088,-,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Betão,18445,3,37,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Diego Matos,593654,6,24,,18,3,-,-,-,1,-,2,-,"1,00",101',BRA1_2022,BRA1,2022,Avaí FC
Kevin,520430,13,23,,34,32,2,1,3,-,-,-,9,"0,81",2.637',BRA1_2022,BRA1,2022,Avaí FC
Igor Dutra,886753,29,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Bruno Cortez,182216,33,34,,27,27,-,-,7,-,-,-,-,"1,04",2.430',BRA1_2022,BRA1,2022,Avaí FC
Raniele,546530,14,24,,33,33,2,-,9,-,-,-,14,"0,79",2.831',BRA1_2022,BRA1,2022,Avaí FC
Lourenço,515068,97,23,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Lucas Ventura,520994,5,23,,32,21,-,-,5,-,-,9,6,"1,05",1.033',BRA1_2022,BRA1,2022,Avaí FC
Jean Pyerre,351903,21,23,,27,23,1,-,2,-,-,17,6,"0,65",744',BRA1_2022,BRA1,2022,Avaí FC
Eduardo,540541,22,24,,35,31,1,2,6,-,-,7,21,"1,00",1.884',BRA1_2022,BRA1,2022,Avaí FC
Mateus Sarará,874853,-,19,,12,8,1,-,3,-,-,3,4,"1,00",430',BRA1_2022,BRA1,2022,Avaí FC
Marcos Serrato,346067,19,27,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Andrey,997076,-,19,,1,1,-,-,-,-,-,1,-,"3,00",27',BRA1_2022,BRA1,2022,Avaí FC
Bruno Silva,75131,8,34,,31,31,-,1,12,1,-,-,11,"0,94",2.615',BRA1_2022,BRA1,2022,Avaí FC
Jean Cléber,187697,16,31,,37,26,-,-,2,-,-,19,4,"1,00",857',BRA1_2022,BRA1,2022,Avaí FC
Macaé,981129,25,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Kazu,439651,55,22,,4,1,-,-,-,-,-,1,-,"0,00",3',BRA1_2022,BRA1,2022,Avaí FC
Vitinho,866827,87,20,,17,8,-,-,2,-,-,5,2,"0,88",360',BRA1_2022,BRA1,2022,Avaí FC
Matheus Galdezani,378975,92,29,,10,6,-,-,3,-,-,3,3,"1,33",292',BRA1_2022,BRA1,2022,Avaí FC
Bissoli,553458,77,23,,32,32,14,-,6,-,-,3,20,"0,84",2.461',BRA1_2022,BRA1,2022,Avaí FC
William Pottker,199472,90,27,,27,27,3,1,6,-,-,4,11,"0,81",1.973',BRA1_2022,BRA1,2022,Avaí FC
Paulo Baya,853529,20,21,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Avaí FC
Lucas Silva,644158,-,23,,15,6,-,-,-,-,-,6,-,"0,50",104',BRA1_2022,BRA1,2022,Avaí FC
Rômulo Souza,349515,9,26,,21,13,-,-,-,-,-,11,2,"0,54",415',BRA1_2022,BRA1,2022,Avaí FC
